
joy , During the period of falling in love 
joy  ,  When I was able to buy my new car  
fear  ,  After my car accident  
danger  ,  When I tried to put up a tent some years ago  
sadness  ,  When my grandfather died.  
disgust  ,  NO RESPONSE.  
shame  ,  Hit a dog with my car  
guilt  ,  Car accident.  
joy  ,  When I was admitted to a certain school as a student.  
fear  ,  My father has a chronic desease.  
danger  ,  A drunken friend of mine was beating up another friend  
sadness  ,  When I didn't get a certain job at Lillehammer which I wanted dvery much.  
disgust  ,  My boss on the job failed to keep his promise about something he dknew was extremely important to me.  
shame  ,  An exam where questions about very specific knowledge were asked.  
guilt  ,  I hit my little sisiter on the head with a stone while we were dfighting.  
joy  ,  When my father managed to begin a new life after the divorce dfrom my mother; resulting in a new little sister for me.  
fear  ,  A near-accident in a car  
danger  ,  My mother and her friends were speaking badly about my father dwhen they were separated  
sadness  ,  Being bored in school  
disgust  ,  When my mother's new husband treated her and my brothers and dsisters badly.  
shame  ,  Stealing from my mother's purse when I was a little boy.  
guilt  ,  NO RESPONSE.  
joy  ,  I was in hospital  
fear  ,  I was hunting  
danger  ,  I was accused of a misdemeanour  
sadness  ,  When my girlfriend left me.  
disgust  ,  Slaughtering of animals.  
shame  ,  I entered the wrong room  
guilt  ,  I failed to show up at an agreed date.  
joy  ,  When I finally managed to get a specific sound from my guitar  
fear  ,  Climbing a mountain  
danger  ,  Meeting generally dominating persons in social occasions.  
sadness  ,  Discovering that Lillehammer provided no musical environment that dsuits my taste  
disgust  ,  Can't describe any disgust situation.  
shame  ,  When the cast general election resulted in Norway getting a dconservative government.  
guilt  ,  A friend of mine shot himself through the head after having told dme and others that he would do so.  
joy  ,  When my children were born.  
fear  ,  When I almost ran over a small boy who suddenly was in front of dmy car.  
danger  ,  When my father phoned me to come home from my vacation  
sadness  ,  When I was told that a good friend was seriously ill.  
disgust  ,  When I learned that a relative had been spreading rumours about dme.  
shame  ,  I was talking badly about a person to some friends  
guilt  ,  When my ex-husband left our house  
joy  ,  When my special friend said I love you for the first time.  
fear  ,  After having watched a crime show on the TV  
 Then  ,   suddenly  
danger  ,  When my car suddenly broke down !sadness  
disgust  ,  There is a certain person  
shame  ,  Cheating to get the best grade on a test in 7th grade.  
guilt  ,  A kitten had wandered into our office  
joy  ,  When my term paper was evaluated.  
fear  ,  After seeing a terror movie at the cinema  
danger  ,  Angry with my brother  
sadness  ,  When my gradmother died.  
shame  ,  I overreacted towards my mother and felt ashamed afterwards.  
guilt  ,  When my parents work very hard and get tired - while I go to school and study instead of helping them.  
joy  ,  Got in touch with earlier friends after a long absence.  
fear  ,  I lost my way on a trip in the mountains.  
danger  ,  Being subject to unfair treatment in a working group  
sadness  ,  The death of a close friend.  
disgust  ,  Was confronted with a person having negative thoughts of other dpeople because of their social status  
shame  ,  Feeling inadequate in a group situation  
guilt  ,  I failed to complete a working task within the agreed time.  
joy  ,  Receiving a much wanted letter from a very good friend who lives dabroad.  
fear  ,  Before getting back the results of a test in school  
danger  ,  One of my best friends accused me of giving up to early on problems.  
sadness  ,  Realizing that school will soon be over  
disgust  ,  In a public swimming hall I saw a very aggressive man who dpractically attacked the children who got in his way when he was dswimming.  
shame  ,  I was making very strong statements about infidelity in couples.  
guilt  ,  I had planned a trip to the South during Easter  
joy  ,  A friend which I hadn't seen for years  
fear  ,  One dark night with no street lights  
danger  ,  I was subject to false accusations  
sadness  ,  I was told by a good friend that we couldn't be friends any more dbecause of his relationship with another girl.  
disgust  ,  This is difficult  
shame  ,  If I don't go to lectures  
guilt  ,  I was very angry with a girlfriend for interferring a little too dmuch with my personal affairs.  
joy  ,  When my fiancee travelled 2000 Km to visit me  
fear  ,  I was beaten up at a private New Year's party once  
danger  ,  I felt unfairly treated at an airport  
sadness  ,  When my grandmother died.  
disgust  ,  The murder of two girls on a school trip to Berlin and sexual dcrimes generally a couple of years ago.  
shame  ,  When taking part in the mobbing of one of my best friends in dprimary school.  
guilt  ,  When I secretly tried smoking for the first time  
joy  ,  When the person that I was very fond of  
fear  ,  Not applicable to myself.  
danger  ,  When students in our working group showed no responsibility or dinterest in our work.  
sadness  ,  A very close friend left me.  
disgust  ,  Some people were unfairly treated  
shame  ,  Taking part in the mobbing of some girls in my class in primary school.  
guilt  ,  Not applicable to myself.  
joy  ,  A close acquaintace cried for me.  
fear  ,  A letter from my boyfriend began in such a way that I thought he dwas going to end our relationship.  
danger  ,  My nephew is a deaf and also hyperactive boy.  
sadness  ,  A woman I know is slowly dying from cancer.  
disgust  ,  Close friends talking badly of other friends.  
shame  ,  My father died after two very painful weeks in bed.  
guilt  ,  We had a day off from school.  
joy  ,  Renewed contact with an earlier friend.  
fear  ,  Fearing the use of power or reprimands when I belong to the dminority.  
danger  ,  A close friend first said he accepted an agreement  
sadness  ,  When realizing that my girlfriend and myself in fact had started dthe process of breaking up.  
disgust  ,  Political and military trnsgressions around the world  
shame  ,  Was accused of having hidden intentions in a situation when I dbelieved I was acting honestly and fairly.  
guilt  ,  When my aunt took her own life  
joy  ,  Receiving a postcard form my sweetheart who was abroad on dvacation  
fear  ,  Doesn't apply.  
danger  ,  When I tried to breake it up with my boyfriend  
sadness  ,  Having to go back home form the U.  
disgust  ,  Doesn't apply.  
shame  ,  Doesn't apply.  
guilt  ,  I dated another boy several times  
joy  ,  Finding my glasses again after having lost them in town.  
fear  ,  Falling off a cliff in the mountains.  
danger  ,  Having a fight with a class mate.  
sadness  ,  When the gear broke on my car.  
disgust  ,  Can't remember having had this feeling.  
shame  ,  Can't remember that feeling.  
guilt  ,  I forgot to lock the outside door at my Land Lady's place.  
joy  ,  I got a job right after school was over.  
fear  ,  Going home alone through the forest after a girl guide scout ? dmeeting.  
danger  ,  I get angry when people disbelieve me or misunderstand me.  
sadness  ,  At the death of a close relative.  
disgust  ,  Having been unjustly punished  
shame  ,  Being caught in changing the truth lying.  
guilt  ,  Doing something wrong at home  
joy  ,  Having passed the exam required to be an authorized Radio/TV ddealer.  
fear  ,  Climbing a mountain where the rocks were very loose.  
danger  ,  Being a spokesman for the union  
sadness  ,  When my grandfather died  
disgust  ,  Reading about executions and massacres which happened during dWorld War II  
shame  ,  I woke up at the house of someone I knew  
guilt  ,  Borrowing a car  
joy  ,  Succeeding in helping others.  
fear  ,  When I realized that we are living on borrowed time  
danger  ,  When others let me down  
sadness  ,  Death in the close family.  
disgust  ,  When people manipulate others through appearing better than what they really are.  
shame  ,  Participating in a theft several years ago.  
guilt  ,  Feeling helpless  
joy  ,  I received the message that I'd been accepted at the school where I dreally wanted to go.  
fear  ,  I came home and discovered that someone had broken in.  
danger  ,  I was accused of having drunk a bottle of liquor and then drefilling with water.  
sadness  ,  Got a package from my parents  
disgust  ,  Quarreling with my father  
shame  ,  Telling friends about how my parents had been treating my dbrothers and sisters unfairly.  
guilt  ,  I've always defended my sister when needed  
joy  ,  Winning the local soccer championships this year was a great joy.  
fear  ,  Before important sports events.  
danger  ,  When colliding with my car.  
sadness  ,  Not succeeding in a cross-country skiing competition  
disgust  ,  Can't remember any episode of disgust.  
shame  ,  When I got really drunk on Norvegian Indipendence Day  
guilt  ,  When I and the boy next door set fire to a house by accident.  
joy  ,  Getting the top price in the football pools.  
fear  ,  Was threatened with a knife .  
danger  ,  When my mother treats me as a 10-year old boy.  
sadness  ,  Getting to know that my uncle in America had a brain tumor.  
disgust  ,  Outside a night club  
shame  ,  My father was a member of the public Alcohol and Drugs Board  
guilt  ,  When being illoyal disloyal to people close to me.  
joy  ,  Receiving close friends form abroad  
fear  ,  Motorcycle accident with two people involved  
 Broke an arm  ,   only.  
danger  ,  Having agreed to share the taxi expenses  
sadness  ,  Death of a close friend.  
disgust  ,  Can't remember any such feelings now.  
shame  ,  At a private party I literally fell into the food.  
guilt  ,  Accidentally dropped a friends camera flash  
joy  ,  Selling my used car.  
fear  ,  Almost crashing my car  
danger  ,  Realizing that a friend had been talked into signing a certain dcontract.  
sadness  ,  Talking to a pensioned and bitter street order policeman.  
disgust  ,  The sadistinc exacution of a student in the USA.  
shame  ,  Forgetting an important appointment.  
guilt  ,  Not keeping a promise of delivering materials of great importance to the receiver.  
joy  ,  Managed to run 30 Km on skis fairly simply.  
fear  ,  Afraid I wouldn't catch the train when I was going to see my dsweetheart.  
danger  ,  Receiving personal criticisms early in the morning.  
sadness  ,  Not getting a job.  
disgust  ,  Seeing a pornographic film when looking for a place to live.  
shame  ,  When unjustified hurting other people.  
guilt  ,  The negative feelings towards me displayed by my dparents-in-law.  
joy  ,  Reunion with my wife after a legal separation.  
fear  ,  The house was on fire  
danger  ,  Physical violence.  
sadness  ,  My father dying.  
disgust  ,  Maltreatment of children.  
shame  ,  I lost my driver's licence because of speeding.  
guilt  ,  Car accident  
joy  ,  Relating to my closest family.  
fear  ,  Thinking of the unknown  
danger  ,  In traffic I often get relatively angry with other drivers.  
sadness  ,  Losing close people and animals.  
 So far  ,   I've felt most when dlosing our dog in a traffic accident.  
disgust  ,  I feel disgust towards those who are responsible for the death of dothers.  
shame  ,  Talking about a person's unattractiveness  
guilt  ,  I often feel guilty  
joy  ,  When the contract about my shop was signed.  
fear  ,  Being very close to having an auto accident  
danger  ,  Having gone to school without learning anything  
sadness  ,  My sweatheart were away on a trip  
disgust  ,  Overeating a traditional type of food - blood pudding.  
shame  ,  Forgot to do some shopping that I had promised to do.  
guilt  ,  I crashed my father's car.  
joy  ,  Receiving a letter form a girl that means a lot to me demotionally.  
fear  ,  Being close to drowning.  
danger  ,  Being slandered by friends.  
sadness  ,  Love problems.  
disgust  ,  Does not apply.  
shame  ,  Having finally to admit I was wrong  
guilt  ,  Being aggressive against members of my family.  
joy  ,  I won the country ski championship.  
fear  ,  I was scared in the dark when I was a little boy.  
danger  ,  Angry when our team small boys lost the county championship dfootball final.  
sadness  ,  My grandfather's death.  
disgust  ,  A teacher gave me lower grades than I was entitled to  
shame  ,  Was caught stealing apples in a neighbor's garden.  
guilt  ,  Not helping parents enough at home and at the farm - this has dhappened many times.  
joy  ,  When the bank let me borrow some money this winter  
fear  ,  Once I was stopped by the police in Spain  
danger  ,  My father accused my brother of having bumped his car  
sadness  ,  When a girlfriend left me.  
disgust  ,  When a friend dropped a frog down my neck  
shame  ,  Fighting with my father while drunk.  
guilt  ,  During 7th grade our class mobbed a famale teacher so badly that she had a breackdown and was hospitalized.  
joy  ,  I am a school teacher.  
fear  ,  As a child  
danger  ,  I had a discussion with my mother concerning my sister's divorce  
sadness  ,  As a ten-year-old I was at the funeral of my grand-father.  
disgust  ,  I had a discussion with my wife about an over-weight acquaintance of dour's  
shame  ,  When I confessed to my girl-friend now my wife that I had dbetrayed her with another woman.  
guilt  ,  The same as in shame.  
joy  ,   A successful lesson.  
fear  ,   I was thinking about death.  
danger  ,  A conflict with a pupil.  
sadness  ,  When I am at home alone.  
disgust  ,  A saturday night a bus full of drunken people.  
shame  ,  A conflict with a pupil and there were probatory teachers dpresent.  
guilt  ,  Selling the appartment after my divorce.  
joy  ,  When in an economic crisis I got an unexpected sum of money.  
fear  ,  In the dark an unreal figure formed by a shadow.  
danger  ,   When I was treated unfairly  
sadness  ,  When I noticed obvious marks of old age in a negative sense on da close relative of mine.  
disgust  ,  As a child  
shame  ,  On a social occasion  
guilt  ,  When I caused needless anxiety to a person close to me because of dmy lack of self-insight.  
joy  ,  I was coming home from an exam and I supposed that I had dpassed it so I ran to a restaurant for a beer.  
fear  ,  I had been drinking with a pal and I later 1 o' clock had a date  dwith my fiancee.  
danger  ,  My fiancee and I were at my parent's place watching TV.  
sadness  ,  I had drunk a couple of beers and my fiancee got angry at me.  
disgust  ,  We were at a hamburger bar and a man at a table nearby started dcoughing and spitting into his plate.  
shame  ,  We got into a fight with some chaps in front of our family house.  
guilt  ,  We had had a party the night before and we still had some liquors dleft the morning after.  
joy  ,  While dancing in a restaurant last week.  
fear  ,  I was on the Inter Rail in Naples alone.  
danger  ,  When a girl left me.  
sadness  ,  I was on my way back from the Inter Rail  
disgust  ,  On Reperbahn  
shame  ,  At the funeral of my uncle  
guilt  ,  On Reberbahn  
joy  ,  My girlfriend gave me some feed-back and I understood that it dmeant that our relationship was about to turn even closer.  
fear  ,  At the dentist's  
danger  ,  While in the army  
sadness  ,  When I came to know that my grandmother had died.  
disgust  ,  In the army  
shame  ,  When I lied to my girlfriend  
guilt  ,  When I spoke ill of a fellow worker in the absence of this dperson.  
joy  ,  When I look at people around and know that people who are stupid dlook stupid.  
fear  ,  When I saw Russian roulette on TV.  
sadness  ,   Laziness makes one sad.  
disgust  ,  When I saw hundreds of snakes twisting over one another in a dmovie.  
shame  ,  I saw a skid-row chronical alcoholic and I was ashamed of the dpeople with a high standard of living.  
guilt  ,  When I shot a bird in the head with a shotgun.  
joy  ,   Being close to another person.  
fear  ,   Uncertainty about my own abilities in an exam.  
danger  ,   An unfair punishment.  
sadness  ,  Loneliness  
disgust  ,  A rich man expressing disgust towards an alcoholic.  
shame  ,  A man asked me: May I sleep in your stairway?  and I answered dNo.  
guilt  ,   The same as in shame.  
joy  ,  I went to a doctor with a complaint.  
fear  ,  My father was away from home and he did not come back when he was dexpected  
danger  ,  I had an implicit agreement with my sister about meeting her  
sadness  ,  I realized that the girl I loved had to leave me.  
disgust  ,  In the bus I was sitting next to a colleage who was drunk and dbehaved in keeping with his state.  
shame  ,  I had promised to help out with domestic chores and I forgot dabout it.  
guilt  ,  I had promised to call a girl but I did not do it.  
joy  ,  When I unexpectedly received birthday greetings from a person I dlike.  
fear  ,  I returned home late from a party last night and I felt afraid dtrying to anticipate the reaction of my father.  
danger  ,  When I learned that my brother had spoilt an LP of mine.  
sadness  ,  When I came to know that a girl I was fond of already had a dboyfriend.  
disgust  ,  A too eager approach by a dirty drunken person in a bus.  
shame  ,  I made a major mistake while learning how to use a computer programme dand the teacher criticized me.  
guilt  ,  I reproached my mother's cooking and criticised her dpersonality  
joy  ,  I shot the decisive goal in an ice-hockey match.  
fear  ,  When I got lost in New York city a late friday night with a dfriend of mine.  
danger  ,  After having quarelled with a relative of mine about politics.  
sadness  ,  The death of my grandmother.  
disgust  ,  When I noticed that a nice person was being exploited deconomically.  
shame  ,  I slandered a person behind his back and he got to know about it.  
guilt  ,  I had quarelled with a friend of mine and I later realized that dit was also my fault.  
joy  ,  I passed an exam which I was not sure at all to pass.  
fear  ,  In the traffic with a car  
danger  ,  I was disappointed and angry at the bad quality of a documentay dprogram on TV.  
sadness  ,  My father had a heart attack when I was not at home I was still dliving with them.  
disgust  ,  At my grandmother's detestable and selfish conduct towards my delder sister  
shame  ,  I arrived late at a seminar concerning my major subject at duniversity  
guilt  ,  I had asked the Salvation Army to take away a piece of furniture dof mine  
joy  ,  On the cliff by the sea  
danger  ,  When I realized that I was far behind the others in the language dcourse and I could no longer catch up with the others.  
sadness  ,  The long lasting illness of my grand-mother  
disgust  ,  Spoilt  
shame  ,  A truth expressed unthinkingly at a coffee party.  
guilt  ,  I did not go to the exercises  
joy  ,  When I got home from my job  
fear  ,  While watching TV a war movie  
danger  ,  I was angry with a friend of mine who behaved in an affected dmanner.  
sadness  ,  I made a long-distance call to people rather close to me and I dthought about the sad incident that had happened to them in the dnear past; I knew that they were thinking about it too when I made dthe call.  
disgust  ,  My parents inherited an appartment and this made them behave in a dpeculiar manner.  
shame  ,  When my friend let my personal matters be publicaly known.  
guilt  ,  When I think about my family parents  
joy  ,  I unexpectedly met a girl with whom I have always got along well.  
fear  ,  When my father was very drunk and raging at home.  
danger  ,  When I did not find the rack used for beating up rugs  
sadness  ,  When one of my cat died of a disease.  
disgust  ,  I felt disgusted at the environment while getting back to my dstudent lodging.  
shame  ,  My girlfriend was away visiting another city and I brought danother girl home.  
guilt  ,  I got 100 FIM too much when I changed money at the bank.  
fear  ,  In Sweden  
 d One day  ,   this man came back to the appartment heavily drunk dhashish and alcohol.  
  However  ,   nothing happened.  
danger  ,  I had an appointment downtown  
sadness  ,  The death of my grandmother.  
disgust  ,  In the army  
shame  ,  On the way back from a Summer spent in Sweden  
guilt  ,  While at primary school  
joy  ,  I got a fairly large amount of my taxes back.  
fear  ,  I was jogging in the forest  
danger  ,  I was coming home in a taxi with a fellow worker of mine.  
sadness  ,  I had had a farewell party at the place where I had been working for a year.  
disgust  ,  I was travelling in a local train when a drunkard  
shame  ,  While quarelling with a fellow worker of mine  
guilt  ,  I was working as a secretary.  
joy  ,  A sunny Autumn day  
fear  ,  Years ago  
danger  ,  A person close to me mistook my good intentions for bad  
sadness  ,   A person close to me told me that his positive regard depended don my conduct.  
disgust  ,  When an untidy and heavyly drunk person made endeavours to dapproach me.  
shame  ,  As a little girl  
guilt  ,  I lost my self-control and raised my voice at a child.  
joy  ,  I got to know that I had been accepted at university.  
fear  ,  I had been watching a TV-program on paranormal phenomena.  
danger  ,  My superior blamed me for some neglects at work in front of dothers.  
  In fact  ,   the task in question was not supposed to be ddone by me.  
sadness  ,  My father suddenly fell ill and died.  
disgust  ,  When a friend of mine got drunk and started to blame and scorn my dother friends and me.  
shame  ,  When I forgot a promise made to a friend of mine.  
guilt  ,  It was my turn to cook dinner.  
joy  ,  My joy was the joy of meeting again.  
fear  ,  I was alone at home and I could hear odd noises coming from above dour bedroom.  
danger  ,  A relative of mine had come to see my husband to talk to him dabout a problem concerning his sister and me.  
sadness  ,  The death of my father  
disgust  ,  The male friend of my mother a widow moved in to live with us.  
shame  ,  At school I was talking to a classmate about mathematics.  
guilt  ,  The death of my father made me feel quite guilty  
joy  ,  My mother  
fear  ,  My husband had gone to drive a strange  
danger  ,  I am a school teacher.  
sadness  ,  A young  
disgust  ,  A series about Freud was shown on TV.  
  In it  ,   a tampon had been dset in the nose of a woman  
shame  ,  I had promised to lend something to my mother-in-law and I forgot dit a couple of times.  
guilt  ,  A borrowed car broke down while I was using it.  
joy  ,  I started a new branch of studies after having failed a former done.  
fear  ,  I was diving below the ice  
danger  ,  My mother carried on using mental pressure concerning something dwhich was serious and a real burden to me.  
sadness  ,  My grandfather died  
disgust  ,   The same as in anger.  
shame  ,  As a child when I was blamed for peeing in the swimming-pool.  
guilt  ,  A friend of mine was drunk and having an argument on the street dwith a woman  
joy  ,  My girlfriend sent me a letter with a shiny picture in it.  
fear  ,  I was about to begin a journey in a car with an acquaintance of dmine.  
danger  ,  On the TV news I heard that Nicaragua had complained about the dincreasing threat of war with the USA.  
sadness  ,  My girlfriend gave me the mitten left me.  
disgust  ,  Watching a violent movie.  
shame  ,  The morning after a wild party.  
guilt  ,  I picked up a girl and I thought that I had misused my dposition and authority over her as there did not seem to be any drealistic possibility of continuing the relationship.  
joy  ,  When  
fear  ,  My grandmother was about to die  
danger  ,  When I checked my examination paper and realized that I had been dcareless  
sadness  ,  When we decided  
disgust  ,  When an acquaintance of mine told me about the way his parents dtreated their sons in an unequal manner.  
shame  ,  I was talking to a friend of mine about our parents and deducation.  
guilt  ,  My mother told me that the enveloppes that I had been tearing I dhad torn the stamps away in good faith had been the first-day denveloppes which my father had collected as a young man.  
joy  ,  I am not especially good at English  
fear  ,  I feared that I was pregnant.  
  Fortunately  ,   after a week's anxiety  
danger  ,  A member of a religious sect tried to convert me  
sadness  ,  When my boyfriend wanted to leave me  
disgust  ,  In a film  
shame  ,  I thought I would be able to use the mangle of the house  
  However  ,   I blocked it and I had to get dthe janitor to help me out.  
  However  ,   I got started only after da couple of months.  
joy  ,  When I got an unexpected letter from  a guy  
fear  ,  When my brother went to shoot wild ducks  
danger  ,  My father had once again told me that I should be careful and try to dseek admission to other places also apart from the faculty of dSocial Sciences at the university of Helsinki.  
sadness  ,  I would have liked to go out to chat with some acquaintances  
  I felt hurt  ,   disappointed  
disgust  ,  When an acquaintance he was drunk of my room-mate vomitted on the kitchen dcarpet.  
shame  ,  I was carried away while talking about my visits abroad and I dtended to boast a little  
guilt  ,  When I was baby-sitting at my cousin's place  
joy  ,  When I got 21/30 points in an exam of statistics.  
fear  ,  When a big angry dog put its snout on my arm and had I made one dmovement it would have bitten me.  
danger  ,  When my room-mates were watching video-tapes and prevented me dfrom watching the news.  
sadness  ,   When after a night of sleeping in another's arms  
disgust  ,  When an unpleasant person tried to make friends with me.  
  A dsubtle  ,   small  
shame  ,  Badly chosen words to a vague acquaintance of mine made me feel dashamed at having given the wrong impression about what I wanted to say.  
guilt  ,  When I behaved improperly - fought in a public place.  
  dAfterwards  ,   I felt guilty about my conduct.  
joy  ,  When my friend told me that he would come and meet me in a dmoment.  
fear  ,  My father had been drinking and I feared him when we went to bed dat night.  
danger  ,  My friends promised me that they would definitely call me to tell dme if they were visiting me or not.  
sadness  ,  A close friend of mine had not contacted me for a long time.  
disgust  ,  A friend of mine came to see me when he was quite drunk.  
shame  ,  I said something especially stupid which I did not mean at all.  
guilt  ,  I did not go to help a friend of mine  
joy  ,  When I felt that an exam  
fear  ,  I was afraid when my dog ran out through a crack in the fence dwhen  a train was coming.  
danger  ,  When a friend of mine was drawn into a fight because of the dstupid gang he belonged to.  
sadness  ,  I felt sad after having had an argument with my boyfriend.  
disgust  ,  I detested my father who was a drunkard.  
shame  ,  When I was on holiday with my former boyfriend  
guilt  ,  When as a child I stole  
joy  ,  When I got home from a pleasant trip abroad  
fear  ,  At school  
danger  ,  My mother had for some time been trying to separate me from a dgood friend who  
  dFinally  ,   at breakfast one day  
sadness  ,  I got to know about the death of a close friend.  
disgust  ,  When I was watching a movie with many violent episodes.  
shame  ,  When I was caught telling a white lie.  
guilt  ,  When before the last exam I have taken  
joy  ,  When I was pressing figures on the curtain cloth.  
fear  ,  I am a kindergarten teacher and I am thoroughly weary of my job.  
 danger  ,  My life-partner  
sadness  ,  Estrangement from my best woman friend.  
disgust  ,  My life-partner is going through a crisis way of life  
shame  ,  Again  
guilt  ,  A lonely  
joy  ,  Begining the week-end with my girlfriend : cozyness  
fear  ,  The fear about my future : work  
danger  ,  A friend of mine ridiculed me  
sadness  ,  I felt sad at having to leave my girlfriend after constant problems dand failed attempts at reconciliation.  
disgust  ,  A man spat on the wall of a house.  
shame  ,  In an express bus I sat on a seat meant for senior citizens and dinvalids.  
guilt  ,  When I did not succeed in finding a job after having finished a dnonacademic degree.  
joy  ,  When after an overwhelming anxiety and enquiry  
fear  ,  At the railway station  
danger  ,  While having a discussion with my mother  
sadness  ,  When I think that I will probably never have a genuine contact dwith my parents.  
disgust  ,  While reading Olli Jalonen's new book  
shame  ,  When I approached a person of the opposite sex and was rejected.  
guilt  ,  When I noticed that my little sister was sulking  
joy  ,  The day I got to know that I would get a shared dwelling with my dboyfriend.  
fear  ,  My grandfather had lung-cancer and was being nursed at dhome.  
danger  ,  The outrageous conduct of a relative towards me and those close to me.  
disgust  ,  A very drunk person.  
shame  ,  An argument that grew out of an ordinary conversation with a dperson very close to me  
guilt  ,  While trying to get my little brother over a ditch  
joy  ,   A chat on the telephone with a friend.  
fear  ,   Meeting some new unpleasant people or some new  
danger  ,   For example  
sadness  ,   When I am  
 disgust  ,   When some people act very important in any situation.  
shame  ,   Generally  
guilt  ,   If one has planned to do something important and then  
joy  ,  I was in a dancing-tavern and the atmosphere was one of waiting for the end of the world.  
fear  ,  I was travelling back home by boat with two friends of mine after da lovely holiday trip.  
danger  ,  I was at home  
sadness  ,  I tried to talk to my parents over the phone  
disgust  ,  My mother called me because she had read through the enveloppe a letter daddressed to me.  
shame  ,  I feared that I would have to describe my sexual life to an dolder  
guilt  ,  When I moved away from home.  
joy  ,  The inflammation of the ear of my child got cured and the doctor dsaid that the ear was completely all right.  
fear  ,  My husband suddenly fell ill seriously and during the medical dexaminations we did not know what would follow.  
danger  ,  The housing council asked the city to cut 40 linden trees so that dthe inhabitants of the lower floors would have a view to the sea.  
sadness  ,  My child  
disgust  ,  On a trip abroad  
shame  ,  I failed an exam which I thought I would certainly pass.  
guilt  ,  I had been guilty of gossiping and blaming others  
joy  ,  When a student of mine at music performed and played remarkably well.  
fear  ,  When climbing up the stairs to the top of a ski-jumping hill.  
danger  ,  My boy-friend came home late one night without having told me dabout it before.  
sadness  ,  The breaking up of a long lasting relationship.  
disgust  ,  While watching the movie called Deer hunter on TV  
shame  ,  When I noticed that a person I found attractive had seen me dpicking my nose.  
guilt  ,  When I think that I have been too stict or narrow minded towards dmy students.  
joy  ,  When I made up with a girl-friend of mine after having been on dunfriendly terms with her my fault.  
fear  ,  While cycling in the country  
danger  ,  When I heard that my step-mother had treated my mother in a wrong dmanner.  
sadness  ,  When my friend did not pass the high school graduation dexaminations.  
disgust  ,  When I heard about the advances an acquaintance of mine had made to my friends  
shame  ,  When after having had sexual intercourse with a friend  
guilt  ,  When I promised a male friend of mine to visit him  
joy  ,  During lectures  
fear  ,  At night  
  Once  ,   somebody got stabbed din the forest.  
danger  ,  In a tram  
sadness  ,  A relationship in which I had put my trust  
disgust  ,  A nightmare.  
shame  ,  I told evil lies about a close friend of mine.  
guilt  ,  I met my ex boyfriend by chance.  
joy  ,   During inter-rail-trip  
fear  ,  Traveling as the only female in a railway carriage in the middle dof the night in Italy.  
danger  ,  A male  
sadness  ,  When our dog died.  
disgust  ,  While walking on the street with a good friend of mine  
shame  ,  I was dishonest to my boyfriend concerning something that is dimportant to our relationship.  
guilt  ,  A parking fine.  
joy  ,  After having at last finished my master's thesis  
fear  ,  While preparing my master's thesis  
danger  ,  During the Summer  
sadness  ,  The last time I felt sad and disappointed was when I did not do das well as I had hoped in one of the final exams.  
disgust  ,  After the first of May  
shame  ,  After our sad first of May party  
  We  ,   the organizers dof the party  
guilt  ,  At my summer job  
joy  ,  When I met a good friend of mine after a long time.  
fear  ,  I was camping with a friend of mine and we spent the night in the forest.  
danger  ,  When I quarelled with my parents.  
sadness  ,  Being away from a very close friend  
disgust  ,  When I saw a spider.  
shame  ,  While playing I urinated on grandma's floor and did not go to the dlavatory.  
guilt  ,  While travelling in a bus with an invalid ticket  
joy  ,  While having a discussion with a colleague of mine  
fear  ,  While he was drunk  
danger  ,  A higher status colleague of mine despised my attitude and dorganization of work.  
sadness  ,  I could not meet my love  
disgust  ,  Once again  
shame  ,  My love and me rented a room in a hotel one evening.  
guilt  ,   I had  
joy  ,  I had just moved to the town where I study and I got a postcard dfrom a good friend from my home town.  
fear  ,  My boyfriend hinted over the phone about wanting to be free.  
danger  ,  They had returned much less of my taxes than I had expected.  
sadness  ,  After my boyfriend and I had separated.  
disgust  ,  In the morning  
shame  ,  My boyfriend's mother  
guilt  ,  The cat of my landlady escaped through the window which I had dleft open.  
joy  ,  I got a letter from my best friend  
fear  ,  Someone knocked on the door when I was alone at home though There was a door bell.  
danger  ,  My parents put pressure on me to buy clothes  
sadness  ,  When my grandfather died  
disgust  ,  At school  
shame  ,  I told some acquaintances of mine something that I regretted dlater.  
guilt  ,   I speak harshly to my parents though they only mean my own dgood.  
joy  ,  When I got a letter from home.  
fear  ,  While cycling in the country a dog started running beside me  
danger  ,  Disagreements with mother.  
 sadness  ,  When I had to move away from home to study  
disgust  ,  When I noticed two spiders running on the floor in different ddirections.  
shame  ,  When I realized that I had been wrong about a person close to me  
guilt  ,  When I reproached my friend because I was myself low-spirited and ddisappointed.  
joy  ,  I found myself a place after looking for one for a long time.  
fear  ,   In an aeroplane.  
danger  ,  I was angry at my boyfriend who had promised to come to see me dbut did not because he spent the evening with his pals.  
sadness  ,  The breaking up of a relationship.  
 dAnd anyhow  ,   I had known it would happen sooner or later.  
disgust  ,  The disgust I feel towards a certain person.  
shame  ,  After an event in which I felt that I had acted unfairly.  
guilt  ,  At my job  
joy  ,  I went to see the entrance examination results at university.  
fear  ,  I borrowed a car which was supposed to be used for a long journey da few hours later  
danger  ,  An utterance  
sadness  ,  My best friend had a relatively severe illness.  
disgust  ,  A man tried to have sexual intercourse with me  
  Later on  ,   I felt disgust at that dperson as well as myself because I had partly submitted.  
shame  ,  I told my friend about how I had calculated my salary by cheating a dlittle.  
